stage,gate_name,gate_type,gate_question,human_input_that_resolves_it,go_criteria,nogo_action
1,SCOPE LOCK,hard,"Is the disease definition, population/subtype scope, and geography correct before we spend downstream compute?","User confirms or edits scope (e.g. adult vs pediatric, specific subtype, US vs global)",Scope confirmed and recorded in dossier,Re-run Stage 1 with corrected scope
1b,ARCHETYPE LOCK,hard,"What is the disease archetype (genetic architecture), mechanism of pathogenesis (if monogenic), and data density? This reshapes Stages 3/4/5/8/9.","User confirms/corrects the proposed archetype + mechanism (grounded in ClinGen validity, gnomAD constraint, ClinVar, OMIM/Orphanet); mechanism is a clinical claim needing validation",Archetype + data_density set; mechanism confirmed or flagged as open question,"Re-classify with user-supplied genetics; if mechanism truly unknown, run Stage 4 to confirm before modality selection"
2,PRIORITY RANK,soft,"Are these the top patient priorities, correctly ranked?",User confirms/re-ranks the priority list that becomes design requirements,Top 3-5 priorities locked,Re-weight from patient-org input the user supplies
3,WHITESPACE CONFIRM,hard,Which competitive whitespace (data-rich) OR analogous-modality precedent (sparse/ultra-rare) should we pursue?,"User picks the strategic opening; for sparse indications, confirms the natural-history + analogous-precedent framing instead of a competitor matrix",A defensible opening selected (whitespace or precedent-anchored),Kill-or-pivot: re-scope indication or mechanism
3b,DATA SUFFICIENCY,soft,"Is there enough data (omics/trials/natural-history) to proceed, or should we pivot the approach?","User confirms proceeding on genetics-led evidence when omics/trials are absent, or supplies additional data sources",Data path chosen (rich meta-analysis vs genetics-led); gaps recorded,Kill-or-pivot before design spend; consider natural-history study as a prerequisite
4,TARGET EVIDENCE,soft,Is the target/mechanism evidence strong enough to design against (omics concordance when rich; genetic causality when sparse)?,User accepts the target/mechanism or asks to widen datasets/relax thresholds,Data-rich: >=1 target with concordant omics+lit+druggability. Sparse: causal gene with ClinGen validity + ClinVar/gnomAD support,Kill-or-pivot checkpoint before design spend
5,TARGET/MODALITY LOCK,hard,Which target(s) and which therapeutic modality do we commit to? (Common: protein-biology router. Genetic: mechanism->modality tree.),User confirms or overrides the scored rubric / mechanism-tree recommendation,"Lead target(s) + modality confirmed by user; for genetic, mechanism-appropriate modality + delivery vehicle named",Re-score with user-supplied weights; do not proceed to design
6,DESIGN GO/NO-GO,hard,Do the validated leads clear quality thresholds (interface metrics for binders; on/off-target + delivery feasibility for genetic modalities)?,User approves leads or requests redesign/optimization loop,Lead(s) meet modality-appropriate thresholds with acceptable caveats,Return to Stage 5 (re-pick) or iterate Stage 6 optimization; cap loops
8,REG ASSUMPTIONS,soft,"Are the designation + pathway assumptions sound? (Common: orphan/FT/BTD/RMAT. Rare/genetic: + RPD PRV, accelerated approval on surrogate, natural-history external control, platform IND, N-of-1 ASO path.)",User confirms regulatory framing and primary endpoints,"Assumptions confirmed, precedent-anchored",Revise with user/regulatory-consultant input
9,FINANCING ASSUMPTIONS,hard,"Are the round sizes, pricing, and model acceptable? (Common: TAM/SAM/SOM chronic dosing. Ultra-rare: tiny-N, one-time/curative pricing, value-based annuity, registry launch.)",User confirms or edits financial assumptions and the Ask,Financials confirmed by user,Rebuild model with user-supplied assumptions
10,FINAL REVIEW,hard,Does the full deliverable package pass multi-perspective review and is it ready to ship?,User signs off or requests revisions after seeing peer-review risk matrix,Package consistent + peer-review blockers resolved,Loop back to the specific stage owning each blocker
any,LOW CONFIDENCE,soft,Claude Science is uncertain or a claim needs clinical/human validation,User validates the specific claim or supplies missing data/judgment,User validation obtained,Record as open question in dossier; do not assert as fact
