mechanism_of_pathogenesis,gene_dosage_constraint,recommended_modality,alternative_modalities,design_skills,delivery_consideration,approved_precedent
loss_of_function_recessive,biallelic null; LOEUF n/a (recessive),gene_replacement,enzyme_replacement; readthrough(if nonsense); base_prime_editing,evo2/borzoi (cassette); fair-esm2 (product QC),AAV serotype/tropism to target tissue; ~4.7kb payload limit; or LNP,"onasemnogene abeparvovec (SMA, SMN1 AAV9); ERT: alglucosidase alfa (Pompe)"
loss_of_function_haploinsufficient,LOEUF<0.35 / high pLI (dosage-sensitive),gene_replacement,splice_switching_aso (upregulate intact allele); aso_knockdown(rare); base_prime_editing,evo2/borzoi; fair-esm2,Dose titration matters (overexpression toxicity); AAV/LNP,Haploinsufficiency programs largely preclinical; TANGO splice-upregulation ASOs in trials
nonsense,premature stop codon,readthrough,gene_replacement; base_prime_editing (C>T correction),diffdock (small-molecule readthrough); boltz/chai1,Oral small molecule; efficiency is transcript/context-dependent,"ataluren (nonsense DMD, EU conditional)"
gain_of_function,GoF (toxic protein),aso_knockdown,sirna_knockdown; crispr_nuclease (allele KO),evo2/borzoi (oligo + off-target screen),2'-MOE/PS gapmer; intrathecal (CNS) or systemic; allele-selective if SNP available,"tofersen (SOD1 ALS, ASO knockdown)"
toxic_rna,toxic RNA gain,aso_knockdown,sirna_knockdown,evo2/borzoi,Target the toxic transcript/foci; chemistry + route per tissue,ASO programs for DM1 (DMPK) in development
dominant_negative,dominant-negative allele,aso_knockdown,sirna_knockdown (allele-selective); base_prime_editing; crispr_nuclease,evo2/borzoi,Allele-selective knockdown preferred (spare wild-type); needs a targetable SNP,Allele-selective siRNA (e.g. huntingtin) clinical programs
splice,splice-altering variant,splice_switching_aso,base_prime_editing; gene_replacement,evo2/borzoi (steric-block ASO design),2'-MOE/PMO steric-block; intrathecal or systemic,"nusinersen (SMN2 exon-7 inclusion, SMA); casimersen/eteplirsen (DMD exon skip)"
repeat_expansion,repeat expansion (toxic gain),aso_knockdown,sirna_knockdown; crispr_nuclease (repeat excision),evo2/borzoi,Knock down expanded transcript; CNS routes for neuro repeats,HTT-lowering ASO (tominersen) programs; DM1/C9orf72 ASOs in development
"loss_of_function_recessive (enzyme, secreted/lysosomal)",enzyme deficiency,enzyme_replacement,gene_replacement; base_prime_editing,proteinmpnn/solublempnn; boltz/esmfold2/alphafold2; fair-esm2,Recombinant protein IV; glycosylation + uptake tags; BBB is limiting for CNS,agalsidase (Fabry); imiglucerase (Gaucher); laronidase (MPS I)
unknown,not yet determined,(defer),resolve mechanism first (ClinVar/ClinGen/literature) before defaulting,—,Confirm mechanism at ARCHETYPE LOCK before design spend,—
